times phi_values phi_d1_values
0.0 0.12944316536613412 0.0
0.010001000100010001 0.12944316536613412 -0.018437061937961376
0.020002000200020003 0.1292587947467545 -0.03685937422637238
0.030003000300030003 0.12889020100449078 -0.05524083460638406
0.040004000400040006 0.12833779265842693 -0.07355538071683543
0.05000500050005001 0.12760223885125857 -0.0917770251808271
0.060006000600060005 0.1266844685994503 -0.10987989065672396
0.07000700070007002 0.12558566969288304 -0.12783824482964934
0.08000800080008001 0.12430728724458655 -0.14562653531869774
0.09000900090009001 0.12285102189139957 -0.16321942447397356
0.10001000100010002 0.12121882764665984 -0.18059182403617535
0.11001100110011001 0.11941290940629809 -0.19771892962980928
0.12001200120012001 0.11743572011 -0.21457625505925454
0.13001300130013002 0.11528995755940746 -0.23113966637484626
0.14001400140014003 0.112978560895659 -0.24738541567391784
0.15001500150015 0.11050470673891982 -0.2632901745993899
0.16001600160016002 0.10787180499292592 -0.27883106749604186
0.17001700170017003 0.1050834943179655 -0.29398570418209524
0.18001800180018002 0.10214363727614455 -0.30873221229121406
0.19001900190019003 0.0990563151532324 -0.3230492691375305
0.20002000200020004 0.0958258224618571 -0.33691613305387247
0.21002100210021002 0.09245666113131837 -0.3503126741510516
0.22002200220022003 0.08895353438980785 -0.3632194044439025
0.23002300230023004 0.08532134034536883 -0.3756175072877899
0.24002400240024002 0.08156516527249093 -0.3874888660675631
0.25002500250025006 0.0776902766118153 -0.39881609207946594
0.26002600260026004 0.07370211569102064 -0.4095825515453521
0.27002700270027 0.06960629017556712 -0.41977239169773095
0.28002800280028006 0.0654085662585898 -0.429370565873715
0.29002900290029004 0.061114860599852654 -0.4383628575558782
0.3000300030003 0.05673123202429387 -0.44673590329838425
0.31003100310031007 0.05226387299131003 -0.454477214477524
0.32003200320032005 0.04771910084653479 -0.4615751978070204
0.33003300330033003 0.043103348868464585 -0.46801917456012376
0.34003400340034007 0.038423157122863344 -0.47379939844263036
0.35003500350035005 0.033685163138437044 -0.47890707206351
0.36003600360036003 0.028896092417801944 -0.48333436195280866
0.37003700370037007 0.02406274879827386 -0.4870744120798898
0.38003800380038005 0.01919200467747496 -0.49012135582886823
0.39003900390039004 0.014290791119186278 -0.4924703263922492
0.4000400040004001 0.009366087855263786 -0.4941174655482793
0.41004100410041006 0.004424913199780993 -0.49505993079231586
0.42004200420042004 -0.0005256861081421654 -0.49529590079758085
0.4300430043004301 -0.005478645116117974 -0.49482457918594724
0.44004400440044006 -0.010426890907977446 -0.4936461965948639
0.45004500450045004 -0.015363352873926085 -0.4917620110321094
0.4600460046004601 -0.020280972984247178 -0.489174306515729
0.47004700470047006 -0.025172716049404468 -0.4858863900021999
0.48004800480048004 -0.030031579949426467 -0.48190258661153884
0.4900490049004901 -0.034850605815541856 -0.47722823316365925
0.5000500050005001 -0.039622888147178445 -0.4718696700457564
0.51005100510051 -0.044341584847636006 -0.46583423143579755
0.5200520052005201 -0.04899992716199398 -0.459130233912273
0.5300530053005301 -0.05359122950111671 -0.4517669634851847
0.54005400540054 -0.058108899135968554 -0.443754661087764
0.5500550055005501 -0.06254644574684619 -0.43510450657259
0.5600560056005601 -0.06689749081257208 -0.4258286012595899
0.57005700570057 -0.07115577682516798 -0.4159399490868143
0.5800580058005801 -0.07531517631603613 -0.4054524364178738
0.5900590059005901 -0.07936970068021486 -0.39438081056247953
0.6000600060006 -0.08331350878583965 -0.3827406570686404
0.6100610061006101 -0.08714091535652606 -0.37054837584672384
0.6200620062006201 -0.0908463991149933 -0.35782115618678745
0.6300630063006301 -0.09442461067686117 -0.34457695073134076
0.6400640064006401 -0.09787038018417457 -0.33083444846600796
0.6500650065006501 -0.10117872466883465 -0.31661304679045066
0.6600660066006601 -0.10434485513673916 -0.30193282273139516
0.6700670067006701 -0.10736418336405311 -0.2868145033587157
0.6800680068006801 -0.11023232839764027 -0.271279435464282
0.6900690069006901 -0.11294512275228309 -0.255349554561722
0.7000700070007001 -0.11549861829790031 -0.23904735326341123
0.7100710071007101 -0.11788909183053442 -0.22239584908892188
0.7200720072007201 -0.12011305032142364 -0.20541855175688326
0.7300730073007301 -0.12216723583899247 -0.18813943000977182
0.7400740074007401 -0.12404863013909019 -0.1705828780185978
0.7500750075007501 -0.12575445891927617 -0.15277368141183992
0.7600760076007601 -0.12728219573339455 -0.13473698297033776
0.7700770077007701 -0.12862956556309793 -0.11649824802723248
0.7800780078007801 -0.12979454804337026 -0.09808322960948868
0.7900790079007901 -0.13077538033946515 -0.07951793335507837
0.8000800080008001 -0.13157055967301592 -0.06082858223759915
0.8100810081008101 -0.1321788454953919 -0.04204158112797005
0.8200820082008201 -0.1325992613066716 -0.023183481220932993
0.8300830083008301 -0.13283109611888094 -0.004280944352415692
0.8400840084008401 -0.1328739055624051 0.014639292767591027
0.8500850085008501 -0.1327275126347292 0.03355045438310032
0.8600860086008602 -0.1323920080908982 0.0524257615584026
0.8700870087008701 -0.13186775047531418 0.07123846806028802
0.8800880088008801 -0.1311553657947113 0.08996189623411283
0.8900890089008902 -0.13025574683237018 0.1085694728514223
0.9000900090009001 -0.12917005210385596 0.12703476490632978
0.9100910091009101 -0.12789970445479265 0.14533151533701255
0.9200920092009202 -0.12644638930142252 0.16343367864753305
0.9300930093009301 -0.12481205251494719 0.18131545640374325
0.9400940094009401 -0.12299889795090975 0.19895133257530234
0.9500950095009502 -0.12100938462515673 0.21631610869385748
0.9600960096009601 -0.11884622353821815 0.23338493879523287
0.9700970097009701 -0.11651237415026583 0.25013336411107806
0.9800980098009802 -0.11401104050915505 0.26653734747287455
