	mass_A
t	x	y
5.360000e0	-3.051115e-2	3.021077e-3
5.400000e0	-4.362152e-2	4.839833e-3
5.440000e0	-4.362294e-2	4.844542e-3
5.480000e0	-5.549750e-2	5.771120e-3
5.520000e0	-6.599930e-2	7.480353e-3
5.560000e0	-7.393182e-2	1.004222e-2
5.600000e0	-8.091661e-2	1.180635e-2
5.640000e0	-8.532471e-2	1.273482e-2
5.680000e0	-8.533539e-2	1.273591e-2
5.720000e0	-8.796387e-2	1.358618e-2
5.760000e0	-9.014621e-2	1.317022e-2
5.800000e0	-8.882397e-2	1.401562e-2
5.840000e0	-8.533506e-2	1.303420e-2
5.880000e0	-8.006358e-2	1.131395e-2
5.920000e0	-8.007416e-2	1.128971e-2
5.960000e0	-7.307179e-2	8.817405e-3
6.000000e0	-6.425942e-2	7.070449e-3
6.040000e0	-5.331804e-2	6.134943e-3
6.080000e0	-4.146878e-2	4.398825e-3
6.120000e0	-2.873712e-2	2.626021e-3
6.160000e0	-2.873900e-2	2.621621e-3
6.200000e0	-1.513777e-2	8.691019e-4
6.240000e0	-1.535308e-3	-1.834759e-5
6.280000e0	1.204701e-2	1.076572e-5
6.320000e0	2.523598e-2	8.798830e-4
6.360000e0	3.794688e-2	1.762987e-3
6.400000e0	3.794586e-2	1.771999e-3
6.440000e0	4.936865e-2	2.588565e-3
6.480000e0	5.985814e-2	3.442364e-3
6.520000e0	6.821607e-2	4.357884e-3
6.560000e0	7.609986e-2	5.238864e-3
6.600000e0	8.135770e-2	6.099756e-3
6.640000e0	8.133855e-2	6.074852e-3
6.680000e0	8.446321e-2	6.154318e-3
6.720000e0	8.531906e-2	6.155515e-3
6.760000e0	8.398604e-2	6.521814e-3
6.800000e0	8.007660e-2	5.715818e-3
6.840000e0	7.434502e-2	4.857142e-3
6.880000e0	7.432981e-2	4.859907e-3
6.920000e0	6.693445e-2	3.903957e-3
6.960000e0	5.813853e-2	3.030971e-3
7.000000e0	4.802204e-2	2.188987e-3
7.040000e0	3.618205e-2	1.330864e-3
7.080000e0	2.346730e-2	1.315822e-3
7.120000e0	2.346601e-2	1.318237e-3
7.160000e0	9.877777e-3	4.338813e-4
7.200000e0	-1.586921e-3	-4.441465e-4
7.240000e0	-1.603160e-2	1.270029e-3
7.280000e0	-2.917681e-2	2.994366e-3
7.320000e0	-4.146006e-2	4.818911e-3
7.360000e0	-4.146656e-2	4.822492e-3
7.400000e0	-5.287098e-2	5.781546e-3
7.440000e0	-6.292818e-2	7.452146e-3
7.480000e0	-7.126377e-2	9.158715e-3
7.520000e0	-7.743945e-2	1.093879e-2
7.560000e0	-8.225170e-2	1.266065e-2
7.600000e0	-8.225971e-2	1.263030e-2
7.640000e0	-8.531592e-2	1.355554e-2
7.680000e0	-8.620218e-2	1.360564e-2
7.720000e0	-8.490150e-2	1.313526e-2
7.760000e0	-8.183905e-2	1.218254e-2
7.800000e0	-7.700685e-2	1.042698e-2
7.840000e0	-7.702227e-2	1.037655e-2
7.880000e0	-7.001509e-2	8.735583e-3
7.920000e0	-6.162296e-2	7.021329e-3
7.960000e0	-5.112142e-2	5.290501e-3
8.000000e0	-3.971419e-2	4.374305e-3
8.040000e0	-2.743369e-2	2.618927e-3
8.080000e0	-2.743782e-2	2.615043e-3
8.120000e0	-1.468557e-2	8.766560e-4
8.160000e0	-1.536699e-3	-1.745585e-5
8.200000e0	1.120024e-2	-7.717096e-7
8.240000e0	2.431453e-2	8.902122e-4
8.280000e0	3.658693e-2	1.746833e-3
8.320000e0	3.658371e-2	1.746208e-3
8.360000e0	4.721142e-2	2.574138e-3
8.400000e0	5.723339e-2	2.632734e-3
8.440000e0	6.515406e-2	4.330921e-3
8.480000e0	7.173047e-2	5.210940e-3
8.520000e0	7.742664e-2	6.116781e-3
8.560000e0	7.741903e-2	6.101583e-3
8.600000e0	8.090795e-2	6.126562e-3
8.640000e0	8.093178e-2	6.161936e-3
8.680000e0	8.006591e-2	5.716139e-3
8.720000e0	7.655568e-2	5.676812e-3
8.760000e0	7.126756e-2	4.791001e-3
8.800000e0	7.126298e-2	4.778636e-3
8.840000e0	6.427543e-2	3.902963e-3
8.880000e0	5.594784e-2	3.039828e-3
8.920000e0	4.585846e-2	2.191114e-3
8.960000e0	3.486886e-2	1.329580e-3
9.000000e0	2.258920e-2	4.528636e-4
9.040000e0	2.258829e-2	4.582031e-4
9.080000e0	9.866300e-3	4.349712e-4
9.120000e0	-2.857004e-3	-4.317520e-4
9.160000e0	-1.557554e-2	1.268396e-3
9.200000e0	-2.825728e-2	2.989502e-3
9.240000e0	-3.973739e-2	4.769740e-3
9.280000e0	-3.974594e-2	4.758072e-3
