times phi_values phi_d1_values
26.742674267426743 -0.0564797645670916 0.0936317511679731
26.752675267526755 -0.055503795003745804 0.10156216150118592
26.762676267626762 -0.0544492742315904 0.10934199292989465
26.772677267726774 -0.053317763726873774 0.11696010801343011
26.782678267826785 -0.05211093510810394 0.12440561574053623
26.792679267926793 -0.05083056759194002 0.13166788749224825
26.802680268026805 -0.0494785452916138 0.1387365725729956
26.812681268126813 -0.04805685436232344 0.14560161328507706
26.822682268226824 -0.046567579998285764 0.15225325952245788
26.832683268326836 -0.045012903286370004 0.1586820828606945
26.842684268426844 -0.04339509792146302 0.16487899012070226
26.852685268526855 -0.041716526788934276 0.1708352363850466
26.862686268626863 -0.039979638419776774 0.1765424374464541
26.872687268726875 -0.03818696332419795 0.18199258166931012
26.882688268826882 -0.036341110209621254 0.18717804124602982
26.892689268926894 -0.03444476208923432 0.1920915828313572
26.902690269026905 -0.032500672287383216 0.19672637753886346
26.912691269126913 -0.030511660348263026 0.20107601028517472
26.922692269226925 -0.02848060785449336 0.2051344884687584
26.932693269326933 -0.026410454162292384 0.20889624997143655
26.942694269426944 -0.024304192060074385 0.2123561704721631
26.952695269526956 -0.022164863357393556 0.21550957006400284
26.962696269626964 -0.01999555441124018 0.21835221916667266
26.972697269726975 -0.01779939159676457 0.22088034372844914
26.982698269826983 -0.01557953672955881 0.22309062971270274
26.992699269926995 -0.013339182446666377 0.22498022686578403
27.002700270027002 -0.011081547553515184 0.22654675176445468
27.012701270127014 -0.008809872343980315 0.22778829014251903
27.022702270227025 -0.006527413900778886 0.22870339849776672
27.032703270327033 -0.004237441383381184 0.22929110498177357
27.042704270427045 -0.0019432313105896936 0.22955090957652458
27.052705270527053 0.00035193715510897403 0.2294827835632089
27.062706270627064 0.0026447869143744716 0.2290871682898906
27.072707270727076 0.004932047622054276 0.22836497324607036
27.082708270827084 0.007210460355551729 0.2273175734534201
27.092709270927095 0.009476782253734767 0.2259468061831876
27.102710271027103 0.011727791119710338 0.22425496701192654
27.112711271127115 0.013960289980911493 0.2222448052283046
27.122712271227122 0.01617111160007689 0.2199195186047749
27.132713271327134 0.018357122930845057 0.21728274754885887
27.142714271427145 0.020515229511837745 0.21433856864967896
27.152715271527153 0.022642379793267123 0.21109148763619645
27.162716271627165 0.024735569390269843 0.2075464317643473
27.172717271727173 0.02679184525734623 0.2037087416509301
27.182718271827184 0.02880830977846428 0.19958416257268008
27.192719271927196 0.030782124767575008 0.19517883524946572
27.202720272027204 0.03271051537447716 0.19049928613096465
27.212721272127215 0.034590773891164585 0.1855524172065206
27.222722272227223 0.03642026345398793 0.18034549535814945
27.232723272327235 0.038196421637162956 0.17488614127685478
27.242724272427242 0.039916763933359904 0.16918231796253477
27.252725272527254 0.04157888711731165 0.16324231882781384
27.262726272627265 0.043180472488581326 0.1570747554261211
27.272727272727273 0.04471928898983325 0.1506885448242646
27.282728272827285 0.04619319619715269 0.14409289663962288
27.292729272927293 0.047600147179160286 0.13729729976189617
27.302730273027304 0.04893819122186545 0.13031150877913664
27.312731273127316 0.0502054764163987 0.12314553012751342
27.322732273227324 0.051400252106956125 0.11580960798397155
27.332733273327335 0.05252087119647908 0.10831420992061952
27.342734273427343 0.053565792307778845 0.10067001233933416
27.352735273527355 0.05453358179799907 0.09288788570471025
27.362736273627362 0.05542291562448817 0.08497887959311114
27.372737273727374 0.05623258106032974 0.07695420757520256
27.382738273827385 0.05696147825795065 0.06882523194898006
27.392739273927393 0.05760862165939523 0.060603448339935896
27.402740274027405 0.058173141252018216 0.052300470184661135
27.412741274127413 0.05865428366851075 0.04392801311384577
27.422742274227424 0.059051413130331624 0.03549787925033002
27.432743274327436 0.05936401223377116 0.02702194143757752
27.442744274427444 0.059591682578027494 0.018512127413688993
27.452745274527455 0.059734145234825224 0.00998040394585737
27.462746274627463 0.05979124105925443 0.0014387609399842045
27.472747274727475 0.05976296077099276 -0.007094818592318829
27.482748274827483 0.05964944609628136 -0.015608116349961605
27.492749274927494 0.059450931744287575 -0.02409475404879586
27.502750275027505 0.059167745620770894 -0.03254247065454025
27.512751275127513 0.058800337921657286 -0.040939069168181366
27.522752275227525 0.058349280401742504 -0.049272434814775334
27.532753275327533 0.057815265462214147 -0.057530553090895976
27.542754275427544 0.05719910505855128 -0.06570152764167708
27.552755275527556 0.056501729430649496 -0.07377359793867949
27.562756275627564 0.055724185657305386 -0.08173515673014212
27.572757275727575 0.05486763603747692 -0.08957476723555144
27.582758275827583 0.053933356301014736 -0.09728118005688566
27.592759275927595 0.0529227336518335 -0.10484334977936037
27.602760276027603 0.0518372646467616 -0.11225045123502102
27.612761276127614 0.05067855291357101 -0.11949189540309575
27.622762276227625 0.04944830671194733 -0.12655734492164086
27.632763276327633 0.048148336341410726 -0.1334367291856799
27.642764276427645 0.046780551400443536 -0.14012025900775824
27.652765276527653 0.04534695790131671 -0.14659844081760656
27.662766276627664 0.04384965524533652 -0.15286209037843
27.672767276727676 0.0422908330634533 -0.15890234599821507
27.682768276827684 0.04067276792738536 -0.16471068121537186
27.692769276927695 0.03899781993661348 -0.17027891693900485
27.702770277027703 0.037268429186792795 -0.1755992330251316
27.712771277127715 0.035487112125310936 -0.18066417927124054
27.722772277227723 0.033656457799891244 -0.18546668581269835
27.732773277327734 0.03177912400629935 -0.1900000729056801
27.742774277427745 0.029857833341358456 -0.19425806008249868
27.752775277527753 0.027895369167613704 -0.19823477466645187
27.762776277627765 0.025894571496108527 -0.20192475963458326
27.772777277727773 0.02385833279384531 -0.20532298081806039
27.782778277827784 0.02178959372259896 -0.20842483343120916
27.792779277927796 0.019691338815834902 -0.2112261479216021
27.802780278027804 0.01756659210055202 -0.21372319513497393
27.812781278127815 0.015418412670926513 -0.21591269079012732
27.822782278227823 0.01324989022067393 -0.2177917992603893
27.832783278327835 0.011064140541074092 -0.21935813665957843
27.842784278427843 0.008864300991617002 -0.22060977323183936
27.852785278527854 0.006653525950227356 -0.22154523504608978
27.862786278627865 0.004434982250010919 -0.22216350499719775
27.872787278727873 0.0022118446094381273 -0.22246402311736052
27.882788278827885 -1.2708937161090585e-05 -0.222446686202483
27.892789278927893 -0.002235501601971753 -0.22211184675964943
27.902790279027904 -0.004453362392185197 -0.22146031128303953
27.912791279127916 -0.006663130637934679 -0.22049333786685676
27.922792279227924 -0.008861660493093983 -0.21921263316500395
27.932793279327935 -0.011045825402460793 -0.21762034870835792
27.942794279427943 -0.013212522528960354 -0.21571907659155423
27.952795279527955 -0.015358677134629085 -0.21351184454219205
27.962796279627963 -0.017481246909271567 -0.21100211038630426
27.972797279727974 -0.01957722624082712 -0.2081937559248059
27.982798279827986 -0.02164365042163331 -0.20509108023643208
27.992799279927993 -0.023677599784932484 -0.20169879242340333
28.002800280028005 -0.02567620376613305 -0.19802200381670979
28.012801280128013 -0.027636644883509028 -0.19406621965848528
28.022802280228024 -0.029556162633198692 -0.18983733027944735
28.032803280328036 -0.03143205729354498 -0.1853416017898105
28.042804280428044 -0.03326169363400622 -0.1805856663024378
28.052805280528055 -0.035042504524054816 -0.1755765117072821
28.062806280628063 -0.03677199443767314 -0.17032147101638365
28.072807280728075 -0.03844774284924926 -0.16482821129884015
28.082808280828083 -0.040067407516869706 -0.15910472222524916
28.092809280928094 -0.04162872764920168 -0.15315930424114552
28.102810281028106 -0.043129526952352025 -0.14700055638892276
28.112811281128113 -0.04456771655328484 -0.14063736379764
28.122812281228125 -0.045941297796572945 -0.1340788848599809
28.132813281328133 -0.04724836491145011 -0.1273345381154518
28.142814281428144 -0.048487107546320816 -0.12041398885868983
28.152815281528156 -0.04965581316807177 -0.11332713549150121
28.162816281628164 -0.050752869323714145 -0.10608409563697317
28.172817281728175 -0.05177676576206753 -0.09869519203370322
28.182818281828183 -0.05272609641337542 -0.09117093822787448
28.192819281928195 -0.053599561224917686 -0.08352202408057975
28.202820282028203 -0.054395967850857915 -0.07575930110746579
28.212821282128214 -0.05511423319473244 -0.06789376766743828
28.222822282228226 -0.055753384803153845 -0.0599365540168429
28.232823282328233 -0.05631256210946417 -0.05189890724522221
28.242824282428245 -0.05679101752623252 -0.04379217610844841
28.252825282528253 -0.05718811738564852 -0.035627795774750844
28.262826282628264 -0.057503342727016765 -0.027417272498899477
28.272827282728276 -0.05773628993070914 -0.019172168239574853
28.282828282828284 -0.05788667119808078 -0.010904085234753438
28.292829282928295 -0.05795431487700339 -0.002624650549768848
28.302830283028303 -0.05793919545043213 0.005648535864022158
28.312831283128315 -0.057841434503218735 0.013903653578656286
28.322832283228323 -0.05766124269894395 0.02213470727630028
28.332833283328334 -0.057398920121814696 0.030329808149550937
28.342834283428346 -0.05705488544728608 0.03847712675617135
28.352835283528353 -0.05662967526028455 0.04656491064413604
28.362836283628365 -0.056123943197842925 0.054581501844188376
28.372837283728373 -0.055538458917613075 0.0625153542017813
28.382838283828384 -0.054874106894001455 0.07035505052054304
28.392839283928396 -0.05413188504395011 0.07808931948972524
28.402840284028404 -0.05331290318465923 0.08570705236845151
28.412841284128415 -0.05241838132581701 0.09319731939999149
28.422842284228423 -0.051449647799168365 0.10054938592973815
28.432843284328435 -0.05040813722851434 0.10775272820106702
28.442844284428443 -0.04929538834348999 0.1147970488038034
28.452845284528454 -0.04811304164071787 0.1216722917506203
28.462846284628466 -0.046862836896178095 0.12836865715733442
28.472847284728473 -0.045546610532872615 0.13487661550376143
28.482848284828485 -0.044166292848091135 0.14118692145253486
28.492849284928493 -0.04272390510480804 0.1472906272040847
28.502850285028504 -0.04122155649195355 0.15317909536681298
28.512851285128516 -0.03966144095850752 0.1588440113223923
28.522852285228524 -0.03804583392656031 0.16427739506705052
28.532853285328535 -0.03637708888867162 0.16947161251068735
28.542854285428543 -0.0346576338950347 0.17441938621669692
28.552855285528555 -0.03288996793611901 0.1791138055664419
28.562856285628563 -0.031076657226619613 0.18354833633343712
28.572857285728574 -0.029220331396685166 0.18771682965345218
28.582858285828586 -0.027323679596528257 0.19161353037792977
28.592859285928593 -0.025389446520641925 0.1952330847993368
28.602860286028605 -0.023420428357953667 0.19857054773831492
28.612861286128613 -0.021419468674343228 0.20162138898377277
28.622862286228624 -0.019389454234032575 0.204381499078358
28.632863286328636 -0.017333310766425473 0.20684719444306257
28.642864286428644 -0.015253998685029961 0.20901522183603982
28.652865286528655 -0.013154508765139527 0.21088276214204715
28.662866286628663 -0.011037857786977972 0.21244743349026365
28.672867286728675 -0.008907084151028817 0.21370729369956734
28.682868286828683 -0.006765243472272571 0.21466084205168198
28.692869286928694 -0.004615404160044575 0.21530702039391714
28.702870287028706 -0.002460642990202394 0.21564521357451907
28.712871287128714 -0.0003040406762551932 0.215675249214921
28.722872287228725 0.0018513225539415242 0.21539739682442244
28.732873287328733 0.004002371369383808 0.21481236626403424
28.742874287428744 0.006146039728540951 0.2139213055673945
28.752875287528756 0.008279275247016842 0.21272579812778358
28.762876287628764 0.010399043533962477 0.2112278592613434
28.772877287728775 0.012502332491057335 0.2094299321576284
28.782878287828783 0.014586156567993397 0.20733488322958382
28.792879287928795 0.01664756096852109 0.20494599687595438
28.802880288028803 0.01868362580125072 0.2022669696699719
28.812881288128814 0.02069147016954534 0.19930190398895156
28.822882288228826 0.0226682561949908 0.19605530110014058
28.832883288328834 0.024611192969085545 0.19253205371880885
28.842884288428845 0.02651754042795533 0.18873743805514845
28.852885288528853 0.028384613145066354 0.18467710536705612
28.862886288628864 0.03020978403708319 0.18035707303631146
28.872887288728876 0.03199048797819491 0.17578371518603295
28.882888288828884 0.033724225318413056 0.17096375285759632
