	mass_A
t	x	y
5.720000e0	1.294778e-2	1.984630e-3
5.760000e0	5.056178e-3	1.998872e-3
5.800000e0	-2.818301e-3	2.086750e-3
5.840000e0	-1.033589e-2	2.179384e-3
5.880000e0	-1.818494e-2	2.858359e-3
5.920000e0	-2.568802e-2	2.943331e-3
5.960000e0	-3.266059e-2	3.754058e-3
6.000000e0	-3.924618e-2	4.676860e-3
6.040000e0	-4.535531e-2	5.604400e-3
6.080000e0	-5.065577e-2	7.314812e-3
6.120000e0	-5.511081e-2	7.398935e-3
6.160000e0	-5.892632e-2	8.203645e-3
6.200000e0	-6.116079e-2	8.200101e-3
6.240000e0	-6.249319e-2	8.185823e-3
6.280000e0	-6.293703e-2	8.501112e-3
6.320000e0	-6.215562e-2	8.451758e-3
6.360000e0	-6.067416e-2	8.497701e-3
6.400000e0	-5.757421e-2	7.769493e-3
6.440000e0	-5.372404e-2	7.665592e-3
6.480000e0	-4.887610e-2	6.840301e-3
6.520000e0	-4.318824e-2	5.930463e-3
6.560000e0	-3.703936e-2	5.055739e-3
6.600000e0	-3.005516e-2	4.182840e-3
6.640000e0	-2.343144e-2	3.339824e-3
6.680000e0	-1.604115e-2	2.581021e-3
6.720000e0	-8.579516e-3	2.458973e-3
6.760000e0	-1.112840e-3	2.424428e-3
6.800000e0	6.380659e-3	1.583678e-3
6.840000e0	1.379874e-2	1.601027e-3
6.880000e0	2.041624e-2	1.572034e-3
6.920000e0	2.655673e-2	1.632863e-3
6.960000e0	3.227171e-2	2.460991e-3
7.000000e0	3.669735e-2	2.503467e-3
7.040000e0	4.057356e-2	2.515920e-3
7.080000e0	4.320524e-2	2.505114e-3
7.120000e0	4.539333e-2	3.239683e-3
7.160000e0	4.625060e-2	2.946106e-3
7.200000e0	4.628089e-2	2.995953e-3
7.240000e0	4.536124e-2	2.918158e-3
7.280000e0	4.362861e-2	2.842037e-3
7.320000e0	4.094991e-2	2.724896e-3
7.360000e0	3.663698e-2	2.096121e-3
7.400000e0	3.225422e-2	1.996641e-3
7.440000e0	2.655265e-2	1.971221e-3
7.480000e0	2.042316e-2	1.976948e-3
7.520000e0	1.382155e-2	1.993756e-3
7.560000e0	6.792309e-3	1.993019e-3
7.600000e0	-6.500457e-4	1.991044e-3
7.640000e0	-8.088815e-3	2.082298e-3
7.680000e0	-1.514512e-2	2.097846e-3
7.720000e0	-2.214147e-2	2.915336e-3
7.760000e0	-2.914099e-2	2.935217e-3
7.800000e0	-3.531514e-2	3.739377e-3
7.840000e0	-4.060482e-2	5.543099e-3
7.880000e0	-4.624434e-2	6.415783e-3
7.920000e0	-5.065167e-2	7.308177e-3
7.960000e0	-5.423179e-2	7.369721e-3
